Problema,PC,PM,TC,TM,Tiempo,Iteraciones,Evaluaciones,Fitness
problem_mknap5,0.9,0.1,0,0,226.5 +- 85.83695450457623,32921.13333333333 +- 20720.248112502853,32936.63333333333 +- 20719.822147558043,12391.0 +- 11.551981469084382
problem_mknap5,0.9,0.1,0,1,264.53333333333336 +- 17.03289582630872,49985.0 +- 0.0,50000.0 +- 0.0,11655.666666666666 +- 750.2617167883225
problem_mknap5,0.9,0.1,1,0,251.26666666666668 +- 92.26309208410231,35100.26666666667 +- 19722.756668784714,35115.76666666667 +- 19722.36631022537,12392.0 +- 10.954451150103322
problem_mknap5,0.9,0.1,1,1,279.8666666666667 +- 20.363478690238956,49985.0 +- 0.0,50000.0 +- 0.0,11791.166666666666 +- 721.1911642569527
problem_mknap5,0.9,0.3,0,0,302.6 +- 20.43593859373473,49933.03333333333 +- 284.6331557168513,49948.066666666666 +- 284.4505815310164,12327.333333333334 +- 41.01583658265077
problem_mknap5,0.9,0.3,0,1,260.3 +- 24.315668284830895,49985.0 +- 0.0,50000.0 +- 0.0,11655.666666666666 +- 750.2617167883225
problem_mknap5,0.9,0.3,1,0,307.43333333333334 +- 48.73410144527301,47210.73333333333 +- 10613.749699566948,47225.8 +- 10613.497328629595,12334.5 +- 40.6063949439596
problem_mknap5,0.9,0.3,1,1,285.2 +- 21.62916294393226,49985.0 +- 0.0,50000.0 +- 0.0,11791.166666666666 +- 721.1911642569527
problem_mknap5,0.75,0.01,0,0,270.4 +- 41.703055374710935,45352.2 +- 11711.760709822325,45367.36666666667 +- 11711.419703930398,11472.0 +- 808.6169546270625
problem_mknap5,0.75,0.01,0,1,257.06666666666666 +- 19.51822019396825,49985.0 +- 0.0,50000.0 +- 0.0,11454.166666666666 +- 794.0273635228124
problem_mknap5,0.75,0.01,1,0,284.6333333333333 +- 40.39501790152305,45381.73333333333 +- 11213.142009247018,45396.9 +- 11212.788109857054,11709.5 +- 731.6530056588678
problem_mknap5,0.75,0.01,1,1,274.73333333333335 +- 23.63068334607146,49985.0 +- 0.0,50000.0 +- 0.0,11845.0 +- 559.9907634706253
problem_mknap5,0.75,0.1,0,0,245.26666666666668 +- 78.18983677379461,37259.166666666664 +- 18758.077684548072,37274.566666666666 +- 18757.65659888274,12389.0 +- 13.222238320605802
problem_mknap5,0.75,0.1,0,1,261.3333333333333 +- 20.615249349622875,49985.0 +- 0.0,50000.0 +- 0.0,11454.166666666666 +- 794.0273635228124
problem_mknap5,0.75,0.1,1,0,251.13333333333333 +- 93.62829418110942,34349.26666666667 +- 20435.169940036245,34364.7 +- 20434.721411919436,12389.666666666666 +- 12.452207485597393
problem_mknap5,0.75,0.1,1,1,277.0 +- 16.463124939045464,49985.0 +- 0.0,50000.0 +- 0.0,11845.0 +- 559.9907634706253
problem_mknap5,0.75,0.3,0,0,292.9 +- 23.59624458723654,49354.933333333334 +- 3451.0172606542155,49369.96666666667 +- 3450.834686468381,12336.666666666666 +- 42.53463767682584
problem_mknap5,0.75,0.3,0,1,267.23333333333335 +- 18.50756291512935,49985.0 +- 0.0,50000.0 +- 0.0,11454.166666666666 +- 794.0273635228124
problem_mknap5,0.75,0.3,1,0,311.43333333333334 +- 29.528108564591452,48897.5 +- 5956.482812868681,48912.53333333333 +- 5956.3002386828475,12331.666666666666 +- 42.59539665376945
problem_mknap5,0.75,0.3,1,1,276.5 +- 20.046067633982656,49985.0 +- 0.0,50000.0 +- 0.0,11845.0 +- 559.9907634706253
problem_mknap5,0.5,0.01,0,0,281.3666666666667 +- 38.96991176521324,47667.066666666666 +- 8849.52428853288,47682.13333333333 +- 8849.271393086874,11427.0 +- 772.5468404502443
problem_mknap5,0.5,0.01,0,1,266.8333333333333 +- 15.967819649777363,49985.0 +- 0.0,50000.0 +- 0.0,11247.0 +- 801.6487320860505
problem_mknap5,0.5,0.01,1,0,282.76666666666665 +- 47.00306910986905,45878.26666666667 +- 11115.8220473569,45893.433333333334 +- 11115.503558430057,11687.833333333334 +- 684.7875121390642
problem_mknap5,0.5,0.01,1,1,277.1666666666667 +- 18.373675571942282,49985.0 +- 0.0,50000.0 +- 0.0,11661.166666666666 +- 767.5191599690135
problem_mknap5,0.5,0.1,0,0,197.36666666666667 +- 94.74556975661578,24914.866666666665 +- 22289.61026365753,24930.5 +- 22289.183637453792,12390.666666666666 +- 18.742048122232845
problem_mknap5,0.5,0.1,0,1,265.8666666666667 +- 21.67746857172583,49985.0 +- 0.0,50000.0 +- 0.0,11247.0 +- 801.6487320860505
problem_mknap5,0.5,0.1,1,0,193.76666666666668 +- 88.81390203905185,20862.7 +- 20133.886462362658,20878.433333333334 +- 20133.487447676496,12393.0 +- 13.933338832974771
problem_mknap5,0.5,0.1,1,1,269.3 +- 16.657089202188214,49985.0 +- 0.0,50000.0 +- 0.0,11661.166666666666 +- 767.5191599690135
problem_mknap5,0.5,0.3,0,0,295.23333333333335 +- 29.925981484591144,48656.9 +- 5045.587764196249,48672.0 +- 5045.342700502835,12351.666666666666 +- 30.52227375872085
problem_mknap5,0.5,0.3,0,1,273.8 +- 28.273784616703228,49985.0 +- 0.0,50000.0 +- 0.0,11247.0 +- 801.6487320860505
problem_mknap5,0.5,0.3,1,0,312.0 +- 24.36928536017249,49112.86666666667 +- 4776.8709981883885,49127.9 +- 4776.688424002554,12327.0 +- 34.7553022499123
problem_mknap5,0.5,0.3,1,1,276.6666666666667 +- 21.67365051016514,49985.0 +- 0.0,50000.0 +- 0.0,11661.166666666666 +- 767.5191599690135
problem_mknap6,0.9,0.01,0,0,287.53333333333336 +- 22.13864359507793,49985.0 +- 0.0,50000.0 +- 0.0,10323.066666666668 +- 238.4936828966528
problem_mknap6,0.9,0.01,0,1,264.43333333333334 +- 22.066800360743727,49985.0 +- 0.0,50000.0 +- 0.0,10291.133333333333 +- 247.04958783728966
problem_mknap6,0.9,0.01,1,0,315.8 +- 20.107298383319975,49985.0 +- 0.0,50000.0 +- 0.0,10377.1 +- 175.2598760068346
problem_mknap6,0.9,0.01,1,1,282.26666666666665 +- 13.88855478525352,49985.0 +- 0.0,50000.0 +- 0.0,10347.233333333334 +- 248.0582083153945
problem_mknap6,0.9,0.1,0,0,291.5 +- 38.85050924975781,48634.9 +- 7394.802248877248,48649.933333333334 +- 7394.619674691412,10563.466666666667 +- 41.28432392929367
problem_mknap6,0.9,0.1,0,1,261.2 +- 21.119365194221547,49985.0 +- 0.0,50000.0 +- 0.0,10291.133333333333 +- 247.04958783728966
problem_mknap6,0.9,0.1,1,0,328.23333333333335 +- 22.108951741917497,49985.0 +- 0.0,50000.0 +- 0.0,10549.666666666666 +- 42.61643954555836
problem_mknap6,0.9,0.1,1,1,286.43333333333334 +- 19.510710291835967,49985.0 +- 0.0,50000.0 +- 0.0,10347.233333333334 +- 248.0582083153945
